Height distribution             
z       ρ           
[V]     [V<sup>-1</sup>]         
-0.83754539  0.11384573            
-0.8369193  0.11384573            
-0.8362932  0.11384573            
-0.83566711  0            
-0.83504101  0.11384573            
-0.83441491  0.28461433            
-0.83378882  0.22769146            
-0.83316272  0.91076585            
-0.83253663  0.56922865            
-0.83191053  1.0246116            
-0.83128443  1.3092259            
-0.83065834  2.2769146            
-0.83003224  2.1630689            
-0.82940614  1.707686            
-0.82878005  1.8215317            
-0.82815395  3.0169119            
-0.82752786  3.813832            
-0.82690176  3.5861405            
-0.82627566  4.9522893            
-0.82564957  6.6599752            
-0.82502347  8.4245841            
-0.82439737  9.73381            
-0.82377128  13.149182            
-0.82314518  15.938402            
-0.82251909  16.735322            
-0.82189299  21.687612            
-0.82126689  26.41221            
-0.8206408  34.950639            
-0.8200147  36.032174            
-0.81938861  40.073697            
-0.81876251  44.798295            
-0.81813641  49.693661            
-0.81751032  51.572116            
-0.81688422  51.970576            
-0.81625812  54.190568            
-0.81563203  56.125945            
-0.81500593  57.264403            
-0.81437984  62.273615            
-0.81375374  62.273615            
-0.81312764  55.727485            
-0.81250155  56.581328            
-0.81187545  55.158256            
-0.81124936  56.80902            
-0.81062326  52.539805            
-0.80999716  48.498281            
-0.80937107  47.189055            
-0.80874497  39.959851            
-0.80811887  38.53678            
-0.80749278  36.601402            
-0.80686668  29.486044            
-0.80624059  28.746047            
-0.80561449  25.842981            
-0.80498839  25.558367            
-0.8043623  21.85838            
-0.8037362  21.06146            
-0.8031101  18.727623            
-0.80248401  16.849168            
-0.80185791  15.255328            
-0.80123182  14.344562            
-0.80060572  12.010725            
-0.79997962  11.498419            
-0.79935353  11.32765            
-0.79872743  10.246116            
-0.79810134  8.879967            
-0.79747524  7.2861268            
-0.79684914  5.8630551            
-0.79622305  5.4645951            
-0.79559695  4.4399835            
-0.79497085  4.667675            
-0.79434476  4.667675            
-0.79371866  3.9276777            
-0.79309257  4.2692149            
-0.79246647  2.7892204            
-0.79184037  3.5292176            
-0.79121428  2.7322975            
-0.79058818  2.5046061            
-0.78996208  2.6753747            
-0.78933599  2.2769146            
-0.78870989  1.7646088            
-0.7880838  1.4799945            
-0.7874577  1.3661488            
-0.7868316  1.1953802            
-0.78620551  1.5369174            
-0.78557941  0.56922865            
-0.78495332  0.96768871            
-0.78432722  0.91076585            
-0.78370112  0.91076585            
-0.78307503  1.6507631            
-0.78244893  1.3661488            
-0.78182283  1.3661488            
-0.78119674  1.7646088            
-0.78057064  2.0492232            
-0.77994455  1.9353774            
-0.77931845  2.1630689            
-0.77869235  1.4230716            
-0.77806626  1.3092259            
-0.77744016  1.3092259            
-0.77681406  1.5938402            
-0.77618797  1.0246116            
-0.77556187  1.1384573            
-0.77493578  0.68307438            
-0.77430968  0.22769146            
-0.77368358  0.28461433            
-0.77305749  0.39846006            
-0.77243139  0.11384573            
-0.7718053  0.22769146            
